Prokka on data 26: fna	efaecalis	-	gdh(71?)	gyd(2)	pstS(55?)	gki(31?)	aroE(10?)	xpt(2)	yqiL(7)
Prokka on data 26: faa	-	-
Prokka on data 26: ffn	ecoli	-	adk(~13)	fumC(1176?)	gyrB(592?)	icd(13)	mdh(741?)	purA(37)	recA(25)
Prokka on data 26: fsa	efaecalis	-	gdh(71?)	gyd(2)	pstS(55?)	gki(31?)	aroE(10?)	xpt(2)	yqiL(7)
